model,outcome,n,total_cost_usd,cost_per_call_usd
baseline:exact,hallucination,500,,
baseline:fuzzy,exact_match,226,,
baseline:fuzzy,category_match,92,,
baseline:fuzzy,chapter_match,30,,
baseline:fuzzy,out_of_domain,28,,
baseline:fuzzy,hallucination,124,,
baseline:tfidf,exact_match,226,,
baseline:tfidf,category_match,52,,
baseline:tfidf,chapter_match,16,,
baseline:tfidf,out_of_domain,38,,
baseline:tfidf,hallucination,168,,
claude-haiku-4-5:constrained,exact_match,484,2.071834,0.004280648760330579
claude-haiku-4-5:constrained,category_match,16,0.069028,0.00431425
claude-haiku-4-5:rag,exact_match,453,1.09885,0.0024257174392935984
claude-haiku-4-5:rag,category_match,47,0.11781199999999999,0.0025066382978723403
claude-haiku-4-5:zeroshot,exact_match,445,0.9891829999999999,0.0022228831460674157
claude-haiku-4-5:zeroshot,category_match,40,0.094587,0.002364675
claude-haiku-4-5:zeroshot,out_of_domain,1,0.001819,0.001819
claude-haiku-4-5:zeroshot,hallucination,14,0.031588,0.002256285714285714
claude-opus-4-7:constrained,exact_match,474,5.946016500000001,0.012544338607594938
claude-opus-4-7:constrained,category_match,25,0.35006100000000007,0.014002440000000003
claude-opus-4-7:constrained,hallucination,1,0.010813,0.010813
claude-opus-4-7:rag,exact_match,461,6.591955,0.014299251626898046
claude-opus-4-7:rag,category_match,39,0.5248700000000001,0.01345820512820513
claude-opus-4-7:zeroshot,exact_match,445,5.997135,0.01347670786516854
claude-opus-4-7:zeroshot,category_match,40,0.563805,0.014095125
claude-opus-4-7:zeroshot,out_of_domain,5,0.06616,0.013231999999999999
claude-opus-4-7:zeroshot,hallucination,10,0.14051999999999998,0.014051999999999999
claude-sonnet-4-6:constrained,exact_match,473,3.0860690999999996,0.006524458985200845
claude-sonnet-4-6:constrained,category_match,27,0.1784802,0.006610377777777778
claude-sonnet-4-6:rag,exact_match,454,3.3524670000000003,0.007384288546255507
claude-sonnet-4-6:rag,category_match,46,0.335169,0.007286282608695652
claude-sonnet-4-6:zeroshot,exact_match,377,2.611791,0.006927827586206897
claude-sonnet-4-6:zeroshot,category_match,106,0.685224,0.0064643773584905665
claude-sonnet-4-6:zeroshot,out_of_domain,4,0.026145,0.00653625
claude-sonnet-4-6:zeroshot,hallucination,13,0.08526600000000001,0.006558923076923078
gemini-2.5-flash:constrained,exact_match,442,0.0846422469999888,0.00019149829638006517
gemini-2.5-flash:constrained,category_match,19,0.0034099499999997998,0.0001794710526315684
gemini-2.5-flash:constrained,hallucination,39,0.006415784999999502,0.00016450730769229494
gemini-2.5-flash:rag,exact_match,423,0.028452224999999498,6.726294326241016e-05
gemini-2.5-flash:rag,category_match,17,0.0008123999999999999,4.778823529411764e-05
gemini-2.5-flash:rag,hallucination,60,0.002889825,4.816375e-05
gemini-2.5-flash:zeroshot,exact_match,377,0.0216630749999996,5.746173740052945e-05
gemini-2.5-flash:zeroshot,category_match,7,0.0004464,6.377142857142857e-05
gemini-2.5-flash:zeroshot,hallucination,116,0.003182475,2.743512931034483e-05
gemini-2.5-pro:constrained,exact_match,231,0.9340275,0.0040434090909090906
gemini-2.5-pro:constrained,category_match,1,0.0040925,0.0040925
gemini-2.5-pro:constrained,hallucination,268,0.631625,0.0023568097014925373
gemini-2.5-pro:rag,exact_match,159,0.27006374999999994,0.0016985141509433957
gemini-2.5-pro:rag,category_match,7,0.008122500000000001,0.001160357142857143
gemini-2.5-pro:rag,hallucination,334,0.27255875,0.0008160441616766467
gemini-2.5-pro:zeroshot,exact_match,59,0.1327575,0.002250127118644068
gemini-2.5-pro:zeroshot,hallucination,441,0.273825,0.0006209183673469387
gemini-3-flash-preview:constrained,exact_match,448,0.3379632499999971,0.0007543822544642792
gemini-3-flash-preview:constrained,category_match,7,0.005434499999999999,0.0007763571428571428
gemini-3-flash-preview:constrained,hallucination,45,0.027855349999999796,0.0006190077777777733
gemini-3-flash-preview:rag,exact_match,412,0.2313395,0.000561503640776699
gemini-3-flash-preview:rag,category_match,20,0.008386500000000002,0.00041932500000000007
gemini-3-flash-preview:rag,hallucination,68,0.029134999999999998,0.00042845588235294115
gemini-3-flash-preview:zeroshot,exact_match,331,0.1911845,0.0005775966767371601
gemini-3-flash-preview:zeroshot,category_match,5,0.003103,0.0006206
gemini-3-flash-preview:zeroshot,hallucination,164,0.055862499999999995,0.000340625
gpt-4o-mini:constrained,exact_match,471,0.13206224999998734,0.0002803869426751323
gpt-4o-mini:constrained,category_match,29,0.0072341999999995,0.00024945517241377585
gpt-4o-mini:rag,exact_match,452,0.08447744999998211,0.0001868970132742967
gpt-4o-mini:rag,category_match,48,0.007765199999999301,0.00016177499999998543
gpt-4o-mini:zeroshot,exact_match,426,0.064304099999987,0.00015094859154926525
gpt-4o-mini:zeroshot,category_match,31,0.0038078999999990007,0.00012283548387093552
gpt-4o-mini:zeroshot,chapter_match,1,0.0001811999999999,0.0001811999999999
gpt-4o-mini:zeroshot,out_of_domain,4,0.0004722,0.00011805
gpt-4o-mini:zeroshot,hallucination,38,0.005821649999999499,0.0001532013157894605
gpt-5.5:constrained,exact_match,468,3.2076089999999997,0.006853865384615384
