model,n,n_exact,total_cost_usd,cost_per_call_usd,cost_per_correct_usd
baseline:exact,500,0,,,
baseline:fuzzy,500,226,,,
baseline:tfidf,500,226,,,
claude-haiku-4-5:constrained,500,484,2.140862,0.004281724,0.004423268595041322
claude-haiku-4-5:rag,500,453,1.216662,0.0024333239999999997,0.0026857880794701984
claude-haiku-4-5:zeroshot,500,445,1.1171769999999999,0.0022343539999999996,0.00251051011235955
claude-opus-4-7:constrained,500,474,6.3068905,0.012613781,0.013305676160337553
claude-opus-4-7:rag,500,461,7.116825,0.01423365,0.015437798264642083
claude-opus-4-7:zeroshot,500,445,6.767620000000001,0.013535240000000002,0.015208134831460676
claude-sonnet-4-6:constrained,500,473,3.2645493,0.0065290986,0.0069017955602537
claude-sonnet-4-6:rag,500,454,3.6876360000000004,0.007375272,0.008122546255506609
claude-sonnet-4-6:zeroshot,500,377,3.408426,0.006816852,0.009040917771883289
gemini-2.5-flash:constrained,500,442,0.0944679819999881,0.0001889359639999762,0.00021372846606332148
gemini-2.5-flash:rag,500,423,0.0321544499999995,6.4308899999999e-05,7.601524822694918e-05
gemini-2.5-flash:zeroshot,500,377,0.025291949999999598,5.0583899999999196e-05,6.708740053050292e-05
gemini-2.5-pro:constrained,500,231,1.569745,0.00313949,0.0067954329004329
gemini-2.5-pro:rag,500,159,0.550745,0.00110149,0.003463805031446541
gemini-2.5-pro:zeroshot,500,59,0.4065825,0.000813165,0.0068912288135593225
gemini-3-flash-preview:constrained,500,448,0.37125309999999695,0.0007425061999999939,0.000828689955357136
gemini-3-flash-preview:rag,500,412,0.26886099999999996,0.0005377219999999999,0.0006525752427184465
gemini-3-flash-preview:zeroshot,500,331,0.25015,0.0005003,0.0007557401812688821
gpt-4o-mini:constrained,500,471,0.1392964499999868,0.0002785928999999736,0.000295746178343921
gpt-4o-mini:rag,500,452,0.09224264999998139,0.00018448529999996277,0.0002040766592919942
gpt-4o-mini:zeroshot,500,426,0.0745870499999854,0.0001491740999999708,0.00017508697183095165
gpt-5.5:constrained,500,468,3.627249,0.007254498,0.007750532051282051
gpt-5.5:rag,500,446,3.53207,0.00706414,0.007919439461883409
gpt-5.5:zeroshot,500,444,3.59134,0.00718268,0.008088603603603604
pubmedbert:classifier,500,239,,,
sentence-transformer:retrieval,500,345,,,
